shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10385,45.449239,-73.746304,40003,12.101
10385,45.449391,-73.754144,40004,12.715
10385,45.449444,-73.757151,40005,12.951
10385,45.449496,-73.759856,40006,13.162
10385,45.449545,-73.762252,40007,13.350
10385,45.449591,-73.764257,40008,13.507
10385,45.449591,-73.764257,50001,13.507
10385,45.449615,-73.765309,50002,13.589
10385,45.449669,-73.768327,50003,13.826
10385,45.449735,-73.771558,50004,14.079
10385,45.449830,-73.776296,50005,14.450
10385,45.449859,-73.777768,50006,14.565
10385,45.449900,-73.780107,50007,14.748
10385,45.449955,-73.782799,50008,14.959
10385,45.449970,-73.783464,50009,15.011
10385,45.449984,-73.784117,50010,15.062
10385,45.449985,-73.784364,50011,15.081
10385,45.449983,-73.786046,50012,15.213
10385,45.449973,-73.786339,50013,15.236
10385,45.449928,-73.787816,50014,15.351
10385,45.449925,-73.787903,50015,15.358
10385,45.449821,-73.789582,50016,15.490
10385,45.449761,-73.790343,50017,15.550
10385,45.449713,-73.790880,50018,15.592
10385,45.449714,-73.790875,60001,15.592
10385,45.449623,-73.791771,60002,15.663
10385,45.449479,-73.792953,60003,15.757
10385,45.449389,-73.793680,60004,15.815
10385,45.449187,-73.795037,60005,15.924
10385,45.448965,-73.796340,60006,16.028
10385,45.448725,-73.797584,60007,16.129
10385,45.448475,-73.798732,60008,16.223
10385,45.448075,-73.800430,60009,16.363
10385,45.447670,-73.801893,60010,16.486
10385,45.447219,-73.803426,60011,16.616
10385,45.447222,-73.803419,70001,16.616
10385,45.446480,-73.805876,70002,16.826
10385,45.445910,-73.807761,70003,16.986
10385,45.445277,-73.809844,70004,17.164
10385,45.444762,-73.811537,70005,17.308
10385,45.444327,-73.812968,70006,17.430
10385,45.443904,-73.814361,70007,17.549
10385,45.443613,-73.815419,70008,17.638
10385,45.443065,-73.817450,70009,17.808
10385,45.442825,-73.818345,70010,17.883
10385,45.442412,-73.819860,70011,18.010
10385,45.442412,-73.819860,80001,18.010
10385,45.442043,-73.821219,80002,18.124
10385,45.441438,-73.823479,80003,18.313
10385,45.440609,-73.826546,80004,18.570
10385,45.439975,-73.828910,80005,18.768
10385,45.439675,-73.830014,80006,18.861
10385,45.439548,-73.830480,80007,18.900
10385,45.439350,-73.831186,80008,18.960
10385,45.438986,-73.832547,80009,19.074
10385,45.438623,-73.833902,80010,19.187
10385,45.438056,-73.836009,80011,19.364
10385,45.436848,-73.840481,80012,19.739
10385,45.434983,-73.847393,80013,20.318
10385,45.434983,-73.847389,90001,20.318
10385,45.434832,-73.847948,90002,20.365
10385,45.434198,-73.850313,90003,20.563
10385,45.433490,-73.852947,90004,20.784
10385,45.432702,-73.855869,90005,21.029
10385,45.432457,-73.856795,90006,21.106
10385,45.432268,-73.857571,90007,21.171
10385,45.432126,-73.858172,90008,21.220
10385,45.431968,-73.858845,90009,21.276
10385,45.431787,-73.859742,90010,21.349
10385,45.431691,-73.860227,90011,21.388
10385,45.431537,-73.861049,90012,21.455
10385,45.431475,-73.861382,90013,21.482
10385,45.431439,-73.861605,90014,21.500
10385,45.431263,-73.862696,90015,21.587
10385,45.431033,-73.864140,90016,21.703
10385,45.430297,-73.868804,90017,22.077
10385,45.429979,-73.870818,90018,22.239
10385,45.429290,-73.875148,90019,22.586
10385,45.428670,-73.879056,90020,22.900
10385,45.428146,-73.882387,90021,23.167
10385,45.427645,-73.885537,90022,23.420
10385,45.427375,-73.887245,90023,23.557
10385,45.427375,-73.887245,100001,23.557
10385,45.427090,-73.889056,100002,23.702
10385,45.426706,-73.891462,100003,23.895
10385,45.426485,-73.892855,100004,24.007
10385,45.426274,-73.894191,100005,24.114
10385,45.425948,-73.896148,100006,24.272
10385,45.425847,-73.896764,100007,24.321
10385,45.425744,-73.897281,100008,24.363
10385,45.425496,-73.898506,100009,24.463
10385,45.425469,-73.898637,100010,24.474
10385,45.425381,-73.899025,100011,24.506
10385,45.425163,-73.899947,100012,24.582
10385,45.425056,-73.900398,100013,24.619
10385,45.424879,-73.901072,100014,24.675
10385,45.424804,-73.901352,100015,24.699
