service_id,date,exception_type
TRAIN-H25-TRKPI-Semaine-05,20250617,2
TRAIN-H25-TRKPI-Semaine-05,20250618,2
TRAIN-H25-TRKPI-Semaine-05,20250619,2
TRAIN-H25-TRKPI-Semaine-05,20250620,2
TRAIN-H25-TRKPI-Semaine-06,20250106,2
TRAIN-H25-TRKPI-Semaine-06,20250107,2
TRAIN-H25-TRKPI-Semaine-06,20250108,2
TRAIN-H25-TRKPI-Semaine-06,20250310,2
TRAIN-H25-TRKPI-Semaine-06,20250311,2
TRAIN-H25-TRKPI-Semaine-06,20250312,2
TRAIN-H25-TRKPI-Semaine-06,20250313,2
TRAIN-H25-TRKPI-Semaine-06,20250314,2
TRAIN-H25-TRKPI-Semaine-06,20250317,2
TRAIN-H25-TRKPI-Semaine-06,20250318,2
TRAIN-H25-TRKPI-Semaine-06,20250319,2
TRAIN-H25-TRKPI-Semaine-06,20250320,2
TRAIN-H25-TRKPI-Semaine-06,20250321,2
TRAIN-H25-TRKPI-Semaine-06,20250324,2
TRAIN-H25-TRKPI-Semaine-06,20250325,2
TRAIN-H25-TRKPI-Semaine-06,20250326,2
TRAIN-H25-TRKPI-Semaine-06,20250327,2
TRAIN-H25-TRKPI-Semaine-06,20250328,2
TRAIN-H25-TRKPI-Semaine-06,20250331,2
TRAIN-H25-TRKPI-Semaine-06,20250401,2
TRAIN-H25-TRKPI-Semaine-06,20250402,2
TRAIN-H25-TRKPI-Semaine-06,20250403,2
TRAIN-H25-TRKPI-Semaine-06,20250404,2
TRAIN-H25-TRKPI-Semaine-06,20250407,2
TRAIN-H25-TRKPI-Semaine-06,20250408,2
TRAIN-H25-TRKPI-Semaine-06,20250409,2
TRAIN-H25-TRKPI-Semaine-06,20250410,2
TRAIN-H25-TRKPI-Semaine-06,20250411,2
TRAIN-H25-TRKPI-Semaine-06,20250414,2
TRAIN-H25-TRKPI-Semaine-06,20250415,2
TRAIN-H25-TRKPI-Semaine-06,20250416,2
TRAIN-H25-TRKPI-Semaine-06,20250417,2
TRAIN-H25-TRKPI-Semaine-06,20250418,2
TRAIN-H25-TRKPI-Semaine-06,20250421,2
TRAIN-H25-TRKPI-Semaine-06,20250422,2
